Acronym,Expansion
AI,Alternative Investment
AI,Artificial Intelligence
AI,Appreciative Inquiry
AP,Accounts Payable
API,Application Programming Interface
AR,Accounts Receivable
AR,Annual Review
AR,Annual Report 
ATS,Automated Trading System
ATS,Applicant Tracking System
B2B,Business-to-Business
B2C,Business-to-Consumer
BPO,Business Process Outsourcing
BR,Bounce Rate
C&B,Compensation and Benefits
CA,Career Advancement
CA,Chartered Accountant
CA,Customer Acquisition
CAC,Customer Acquisition Cost
CAD ,computer-aided design 
CAD ,Canadian Dollar 
CAGR,Compound Annual Growth Rate
CAPEX,Capital Expenditure
CFO,Chief Financial Officer
CLV,Customer Lifetime Value
CMS,Content Management System
CP,Commercial Paper
CP,Career Pathing
CPC,Cost Per Click
CPM,Cost Per Million
CPM,Cost Per Mille
CRM,Credit Risk Management
CRM,Customer Relationship Management
CRO,Conversion Rate Optimization
CTA,Call to Action
CTA,Commodity Trading Advisor
CTR,Click-Through Rate
DD,due date 
DD,direct deposit 
DD,double booking 
DEI,"Diversity, Equity, and Inclusion"
DEI,Dividend Equity Income
EAP,Employee Assistance Program
EBITDA,"Earnings Before Interest, Taxes, Depreciation, and Amortization"
EE,Employee Engagement
EPS,Earnings Per Share
ER,Earnings Report
ER,Employee Relations
ERG,Employee Resource Group
ESOP,Employee Stock Ownership Plan
ETF,Exchange-Traded Fund
EVP,Executive Vice President
EVP,Email Verification Process
EVP,Employee Value Proposition
FCF,Free Cash Flow
FIFO,"First In, First Out"
FMLA,Family and Medical Leave Act
FOMC,Federal Open Market Committee
GAAP,Generally Accepted Accounting Principles
GENAI,Generative Artificial Intelligence
HCM,Human Capital Management
HIPO,High Potential Employee
HR,Human Resources
HRIS,Human Resource Information System
HRMS,Human Resource Management System
IPO,Initial Public Offering
IRR,Internal Rate of Return
JD,Job Description
KPI,Key Performance Indicator
L&D,Learning and Development
LIFO,"Last In, First Out"
LTV,Loan-To-Value
LTV,Lifetime Value
M&A,Mergers and Acquisitions
MA,Marketing Automation
MA,Mergers & Acquisitions
MBO,Management BuyOut
MBO,Management By Objectives
MM,millions 
MM,millimeters 
MSG,message
MSG,monosodium glutamate 
NAV,Net Asset Value
NPV,Net Present Value
OD,Organizational Development
OJT,On-the-Job Training
P&L,Profit and Loss
P/E,Price-to-Earnings Ratio
PA,Personal Account
PA,Performance Appraisal
PE,Price-to-Earnings Ratio
PHR,Professional in Human Resources
PM,Portfolio Manager
PM,Performance Management
PM,Product Marketing
PMS,Performance Management System
PPC,Pay-Per-Click
PPC,Preferred Price Channel
PR,Public Relations
PR,Performance Review
PTO,Paid Time Off
QR Code,Quick Response Code
RA,Remarketing Audience
RA,Risk Assessment
ROA,Return on Assets
ROE,Return on Equity
ROI,Return on Investment
ROI,Return on Involvement
RPO,Request for Purchase Order
RPO,Recruitment Process Outsourcing
RSS,Really Simple Syndication
SEC,Securities and Exchange Commission
SEM,Search Engine Marketing
SEO,Search Engine Optimization
SHRM,Society for Human Resource Management
SLA,Service Level Agreement
SME,Small and Medium-sized Enterprises
SME,Subject Matter Expert
SMM,Social Media Marketing
SPHR,Senior Professional in Human Resources
SSA,senior systems administrator 
SSA,Social Security Administration 
SWOT,"Strengths, Weaknesses, Opportunities, Threats"
T&D,Training and Development
TA,Talent Acquisition
TVM,Time Value of Money
UGC,User-Generated Content
UI,User Interface
USP,Unique Selling Proposition
UX,User Experience
VAT,Value Added Tax
VOD,Video on Demand
WACC,Weighted Average Cost of Capital
WFH,Work From Home
WFN ,Workforce Now 
WFN ,World Federation of Neurology 
YOLO ,you only live once 
YOLO ,you only look once 
YOY,Year Over Year
